epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.001,0,,,,,,,
0,,19,,1.2087109088897705,,,,,
0,,39,,1.0471148490905762,,,,,
0,,59,,0.8811599612236023,,,,,
0,,79,,0.9931022524833679,,,,,
0,,99,,0.8075588345527649,,,,,
0,,119,,0.8298705220222473,,,,,
0,,139,,0.919485867023468,,,,,
0,,159,,0.7147091627120972,,,,,
0,,179,,0.8521111607551575,,,,,
0,,199,,0.8632707595825195,,,,,
0,,219,,0.8323003649711609,,,,,
0,,239,,0.8000997304916382,,,,,
0,,259,,0.755693256855011,,,,,
0,,279,,0.820134162902832,,,,,
0,,299,,0.7650017142295837,,,,,
0,,319,,0.7693032026290894,,,,,
0,,339,,0.8653554916381836,,,,,
0,,359,,0.8705951571464539,,,,,
0,,379,,0.728331446647644,,,,,
0,,399,,0.7636028528213501,,,,,
0,,419,,0.8452771902084351,,,,,
0,,439,,0.7038220167160034,,,,,
0,,459,,0.778933584690094,,,,,
0,,479,,0.7348126769065857,,,,,
0,,499,,0.7682482004165649,,,,,
0,,519,,0.8069079518318176,,,,,
0,,539,,0.7459781169891357,,,,,
0,,559,,0.7065802812576294,,,,,
0,,579,,0.759574830532074,,,,,
0,,599,,0.6697540283203125,,,,,
0,,619,,0.73578941822052,,,,,
0,,639,,0.6297723054885864,,,,,
0,,659,,0.7655596733093262,,,,,
0,,679,,0.7575405836105347,,,,,
0,,699,,0.7057933807373047,,,,,
0,,719,,0.703794538974762,,,,,
0,,739,,0.7060421109199524,,,,,
0,,759,,0.6164629459381104,,,,,
0,,779,,0.6707296371459961,,,,,
0,,799,,0.7174925208091736,,,,,
0,,819,,0.7231574058532715,,,,,
0,,839,,0.6586891412734985,,,,,
0,,859,,0.678956151008606,,,,,
0,,879,,0.7189408540725708,,,,,
0,,899,,0.5714090466499329,,,,,
0,,919,,0.5831314325332642,,,,,
0,,939,,0.6684622764587402,,,,,
0,,959,,0.650501549243927,,,,,
0,,979,,0.5993445515632629,,,,,
0,,999,,0.6546394228935242,,,,,
0,,1019,,0.7091401815414429,,,,,
0,,1039,,0.5885842442512512,,,,,
0,,1059,,0.6560406684875488,,,,,
0,,1079,,0.5517347455024719,,,,,
0,,1099,,0.5198450088500977,,,,,
0,,1119,,0.6067401766777039,,,,,
0,,1139,,0.6463377475738525,,,,,
0,,1159,,0.5906457901000977,,,,,
0,,1179,,0.5502678751945496,,,,,
0,,1199,,0.5536743998527527,,,,,
0,,1219,,0.6119773387908936,,,,,
0,,1239,,0.6629706025123596,,,,,
0,,1259,,0.5775247812271118,,,,,
0,,1279,,0.5636946558952332,,,,,
0,,1299,,0.6115224957466125,,,,,
0,,1319,,0.48418697714805603,,,,,
0,,1339,,0.6053608655929565,,,,,
0,,1359,,0.5153362154960632,,,,,
0,,1379,,0.5445343255996704,,,,,
0,,1399,,0.6281091570854187,,,,,
0,,1419,,0.5270833969116211,,,,,
0,,1439,,0.597641110420227,,,,,
0,,1459,,0.5770221948623657,,,,,
0,,1479,,0.45061689615249634,,,,,
0,,1499,,0.593220591545105,,,,,
0,,1519,,0.5528988838195801,,,,,
0,,1539,,0.5584539175033569,,,,,
0,,1559,,0.47032445669174194,,,,,
0,,1579,,0.48714739084243774,,,,,
0,,1599,,0.5849242806434631,,,,,
0,,1619,,0.5010861158370972,,,,,
0,,1639,,0.48560136556625366,,,,,
0,,1659,,0.5826612710952759,,,,,
0,,1679,,0.584758460521698,,,,,
0,,1699,,0.505031943321228,,,,,
0,,1719,,0.6115559339523315,,,,,
0,,1739,,0.5431245565414429,,,,,
0,,1759,,0.5205751657485962,,,,,
0,,1779,,0.48603296279907227,,,,,
0,,1799,,0.565784752368927,,,,,
0,,1819,,0.5229079127311707,,,,,
0,,1839,,0.5999816060066223,,,,,
0,,1859,,0.5151178240776062,,,,,
0,,1879,,0.48738497495651245,,,,,
0,,1899,,0.6797986030578613,,,,,
0,,1919,,0.5117309093475342,,,,,
0,,1939,,0.5055145025253296,,,,,
0,,1959,,0.4585486352443695,,,,,
0,,1979,,0.5484030246734619,,,,,
0,,1999,,0.42969363927841187,,,,,
0,,2019,,0.4997789263725281,,,,,
0,,2039,,0.4906655251979828,,,,,
0,,2059,,0.5323241353034973,,,,,
0,,2079,,0.47378626465797424,,,,,
0,,2099,,0.5054500699043274,,,,,
0,,2119,,0.5022176504135132,,,,,
0,,2139,,0.530208945274353,,,,,
0,,2159,,0.5013272166252136,,,,,
0,,2179,,0.5209904909133911,,,,,
0,,2199,,0.45498570799827576,,,,,
0,,2219,,0.5022664070129395,,,,,
0,,2239,,0.4436444342136383,,,,,
0,,2259,,0.5128951072692871,,,,,
0,,2279,,0.4843369424343109,,,,,
0,,2299,,0.4407058358192444,,,,,
0,,2319,,0.5209950804710388,,,,,
0,,2339,,0.45892637968063354,,,,,
